id,momeducat,age_06,info_06,comp_06,simi_06,voca_06,picc_06,pica_06,bloc_06,obje_06,age_11,info_11,comp_11,simi_11,voca_11,picc_11,pica_11,bloc_11,obje_11
1,0,5.833333333,31.28654971,25.62656642,22.93233083,22.21491228,25.87719298,8.310249308,9.409888357,39.16408669,10.58333333,69.88304094,44.4235589,68.04511278,51.1622807,52.19298246,47.09141274,18.97926635,67.02786378
2,0,5.916666667,13.80116959,14.78696742,7.581453634,15.37280702,10.52631579,7.417666975,3.891547049,4.179566564,10.66666667,41.87134503,44.86215539,33.89724311,37.74122807,42.10526316,31.42505386,19.20255183,78.48297214
3,2,6.333333333,34.96969697,34.67532468,28.05194805,26.84090909,42.81818182,6.44338118,4.958677686,41.76470588,10.91666667,60.42424242,50.25974026,35.84415584,55.47727273,75.54545455,67.68740032,94.21487603,77.05882353
4,2,6.333333333,24.79532164,31.39097744,8.20802005,20.19736842,50,2.7085257,8.867623605,63.05469556,11.08333333,52.86549708,42.66917293,45.80200501,35.98684211,50,67.34379809,39.48963317,87.82249742
5,1,6.166666667,25.2631579,30.2631579,15.97744361,35.41666667,44.29824561,9.295167744,8.740031898,43.08565532,10.91666667,67.36842105,86.65413534,72.36842105,60.41666667,65.35087719,46.22960911,73.81180223,74.04540764
6,2,5.666666667,15.40229885,23.39901478,11.45320197,20.56034483,18.10344828,8.832425892,1.504702194,13.79310345,10.5,46.43678161,52.95566503,22.53694581,47.71551724,64.65517241,36.05565638,24.07523511,44.21906694
7,0,6.166666667,15.38011696,-1.253132832,2.318295739,13.00438597,8.596491228,1.662049862,-0.38277512,4.4375645,10.91666667,53.97660819,36.34085213,39.9122807,35.37280702,50.70175439,57.06371191,11.10047847,47.78121775
8,0,6.083333333,19.88304094,6.704260652,14.160401,14.86842105,39.9122807,6.463527239,7.081339713,19.7626419,10.83333333,26.9005848,33.02005013,21.679198,22.7631579,45.1754386,39.70452447,18.5645933,69.29824561
9,0,6.083333333,12.63157895,13.84711779,10.27568922,23.22368421,19.73684211,6.401969837,-0.318979266,25.90299278,10.83333333,54.73684211,40.16290727,36.5914787,54.80263158,35.52631579,43.3364112,18.81977672,59.95872033
10,1,5.916666667,23.69047619,25.44642857,11.41581633,21.78571429,35.17857143,7.675438597,7.857142857,12.71008403,10.58333333,45.11904762,52.23214286,53.50765306,53.92857143,45.89285714,47.14912281,42.92207792,69.43277311
11,1,5.75,25.29761905,29.33673469,13.20153061,25.69196429,30.53571429,9.555137845,6.331168831,18.01470588,10.41666667,64.58333333,44.64285714,62.94642857,64.53125,41.25,60.30701754,23.86363636,84.19117647
