MOTHER_ED,EERI,MATH_VERB
15,2,0.58483
12,2,0.27978000000000003
12,1,0.22001
12,1,0.03585
14,1,0.30583
6,3,0.67533
12,2,0.26024
11,2,0.44451
15,1,0.09339
15,1,0.08334
13,1,0.03505
11,1,0.10443
10,1,0.06423
7,2,0.061200000000000004
12,1,0.054029999999999995
12,1,0.17058
12,3,0.62806
16,3,0.35107
12,2,0.88652
12,1,0.79413
12,0,0.29824
12,1,0.47134
18,2,0.9670300000000001
12,2,0.15234999999999999
14,2,0.01355
12,2,0.44494999999999996
14,1,0.52921
16,1,0.56708
12,1,0.0239
6,1,0.42129
12,1,0.70113
12,2,0.75575
10,1,0.043550000000000005
8,1,0.05351
8,2,0.27977
12,2,0.35316000000000003
12,2,0.6657500000000001
13,2,0.74883
16,3,0.94837
16,3,0.83765
12,2,0.90866
12,2,0.43864
12,2,0.57727
15,2,0.76838
12,2,0.65345
12,2,0.53132
15,3,0.33091000000000004
14,2,0.59605
16,2,0.67045
16,2,0.58706
16,2,0.71624
16,2,0.89334
16,2,0.83789
18,3,0.8902800000000001
16,2,0.60424
18,3,0.98914
12,2,0.7940900000000001
16,1,0.62219
16,1,0.39585000000000004
12,2,0.18370999999999998
12,2,0.42347999999999997
11,3,0.05071
11,3,0.12233000000000001
12,2,0.27157
14,2,0.92692
16,2,0.79949
9,1,0.042510000000000006
13,2,0.83128
12,2,0.7558199999999999
12,1,0.61533
12,2,0.87967
16,2,0.98687
13,3,0.9029200000000001
12,3,0.95254
18,2,1
18,2,0.9819599999999999
14,3,0.79429
12,3,0.85828
16,2,0.82474
16,2,0.74248
15,1,0.55484
14,1,0.63503
17,3,0.526
18,2,0.99591
15,1,0.33506
12,2,0.7179099999999999
12,1,0.35568
12,1,0.66561
18,3,0.80773
12,2,0.6655599999999999
14,2,0.82209
16,3,0.86033
12,1,0.62122
12,1,0.43085
15,2,0.76936
14,2,0.58782
18,1,0.5150399999999999
18,1,0.45199
12,2,0.29803999999999997
12,2,0.10686999999999999
13,1,0.86419
13,2,0.87611000000000006
11,3,0.56495
11,3,0.63505
18,2,0.84456
12,2,0.42366
12,1,0.14864
8,2,0.33759999999999996
6,1,0.10621
16,3,0.75382
12,1,0.15073999999999999
7,1,0.18295999999999998
11,2,0.53768
14,1,0.7269199999999999
12,3,0.34539000000000003
12,2,0.522
14,2,0.39122
14,1,0.5663
12,3,0.89741
12,2,0.6457999999999999
11,2,0.17931999999999998
18,2,0.95218
14,3,0.86696
16,2,0.40245
16,2,0.45052
18,2,0.73369
18,3,0.8050700000000001
12,3,0.9845099999999999
16,2,0.34804999999999997
14,3,0.7183799999999999
12,2,0.27268000000000003
14,1,0.36222
13,1,0.55736
13,2,0.36685
12,1,0.45243
12,2,0.61751
14,2,0.16242
20,2,0.4311
20,3,0.67241
18,2,0.48416
16,2,0.7324299999999999
11,2,0.61481
12,2,0.25049
4,1,0.51107
6,1,0.04585
10,1,0.23632999999999998
10,1,0.07915
14,1,0.9711700000000001
12,2,0.2075
5,1,0.11676
14,3,0.85233
12,2,0.8826
14,1,0.26195
14,3,0.9412900000000001
14,2,0.9093600000000001
17,3,0.83087
12,2,0.9653100000000001
15,1,0.24639
16,3,0.3464
6,1,0.5774199999999999
12,1,0.6866599999999999
6,2,0.47119999999999995
9,1,0.13978
4,1,0.07468
3,1,0.40549999999999997
13,3,0.6693000000000001
14,3,0.06538000000000001
14,1,0.26452000000000003
17,3,0.98786
17,2,0.44976
16,3,0.5972999999999999
14,2,0.54409
14,2,0.66987
12,2,0.19388000000000002
12,3,0.7865000000000001
12,2,0.69845
6,2,0.09151999999999999
15,2,0.27912
12,1,0.14734
12,1,0.07873000000000001
18,3,0.5530700000000001
14,2,0.9045799999999999
9,2,0.26653
13,0,0.05305
13,1,0.15014
16,3,0.77604
8,2,0.61988
18,3,0.9129
12,2,0.65106
18,3,0.9964799999999999
15,1,0.18347000000000002
16,2,0.82274
16,2,0.8215300000000001
18,2,0.7046899999999999
13,1,0.6591800000000001
12,1,0.19305
9,1,0.030289999999999997
13,2,0.81035
12,2,0.51465
8,0,0.48296
12,1,0.23396999999999998
13,3,0.74836
8,1,0.0023599999999999997
14,3,0.41101999999999994
14,2,0.5314099999999999
12,2,0.36129
12,1,0.28983000000000003
12,1,0.08071999999999999
10,2,0.9196500000000001
10,2,0.5811
11,1,0.07209
11,1,0.0935
12,2,0.93526
12,2,0.7151000000000001
12,1,0.32409
12,2,0.62773
2,1,0.14295
5,1,0.05825
12,1,0.2541
16,2,0.4053
12,2,0.8107099999999999
14,3,0.5053
12,2,0.6624899999999999
17,3,0.95262
12,1,0.8282200000000001
13,2,0.9097700000000001
12,1,0.16662
18,3,0.98373
15,2,0.51088
12,3,0.23768999999999998
13,3,0.93903
13,2,0.92188
12,3,0.97225
16,3,0.54911
12,2,0.7021999999999999
17,1,0.29055
14,2,0.49154000000000003
14,2,0.23206
16,2,0.9156799999999999
15,3,0.6491800000000001
12,2,0.44939999999999997
4,2,0.60034
4,2,0.70811
12,2,0.68257
16,3,0.75099
12,2,0.27664
10,1,0.03676
18,3,0.5158200000000001
15,1,0.13143000000000002
9,1,0.16523
14,2,0.16841
14,2,0.25933
7,1,0.13401
6,1,0.24065999999999999
11,1,0
16,2,0.44322
13,2,0.38621
13,2,0.47867
13,2,0.7042100000000001
14,2,0.60494
14,2,0.96662
14,3,0.47503
16,2,0.99678
16,3,0.9901800000000001
16,3,0.97811
13,2,0.15042
16,3,0.73821
16,3,0.9246500000000001
17,3,0.8877200000000001
16,3,0.7466700000000001
16,3,0.97859
16,3,0.99182
16,3,0.7980200000000001
18,3,0.9229900000000001
17,3,0.9706699999999999
14,1,0.19553
13,1,0.055439999999999996
9,2,0.41835
9,2,0.48786
14,2,0.98909
19,1,0.5497
16,2,0.28994
12,3,0.56176
14,2,0.55457
14,1,0.26572
12,3,0.61888
16,3,1
12,3,0.22333999999999998
18,2,0.9963200000000001
13,3,0.73141
16,3,0.9566800000000001
16,3,0.64858
16,3,0.93038
18,2,0.82304
16,1,0.92824
12,2,0.73102
12,2,0.19617
12,1,0.20920000000000002
11,2,0.36578000000000005
11,0,0.51988
12,2,0.64764
12,1,0.022269999999999998
14,1,0.1013
14,3,0.42475
9,1,0.2194
15,2,0.84822
12,1,0.48674
14,2,0.83735
14,2,0.88213
16,2,0.41643
16,2,0.7731999999999999
17,2,0.9292400000000001
13,2,0.6693899999999999
15,2,0.31267
13,2,0.6022500000000001
13,2,0.30799
12,2,0.65618
11,2,0.25539
12,2,0.23167000000000001
13,2,0.17212
14,2,0.13132
12,3,0.8790399999999999
12,2,0.6422100000000001
13,1,0.32722
12,3,0.92938
12,2,0.14973
4,1,0.72985
4,2,0.65003
10,2,0.02943
12,2,0.40110999999999997
17,1,0.45363
12,2,0.5487
16,1,0.37811
13,2,0.5915699999999999
13,2,0.31578
12,1,0.17079
12,1,0.15783
15,3,0.35079
15,3,0.24099
14,2,0.70718
12,2,0.75173
14,2,0.46715
14,3,0.60434
